# Time-averaged data for fix myFixMSD2
# TimeStep c_myMSD[1] c_myMSD[2] c_myMSD[3] c_myMSD[4]
0 0 0 0 0
10000 16.9508 16.5098 16.4636 49.9243
20000 30.4905 29.8405 30.0272 90.3581
30000 41.4249 41.0448 41.0014 123.471
40000 51.5958 50.3215 50.1165 152.034
50000 59.9079 59.3715 58.8339 178.113
60000 67.3841 67.1233 65.6287 200.136
70000 74.341 75.2338 72.3865 221.961
80000 81.8743 81.1686 78.8909 241.934
90000 88.7453 87.5709 85.5731 261.889
100000 94.5874 92.761 91.0242 278.373
110000 99.8204 97.1094 96.1716 293.101
120000 104.637 101.76 102.16 308.558
130000 108.913 106.534 106.214 321.662
140000 113.629 110.07 110.752 334.451
150000 119.555 114.166 114.763 348.484
160000 122.253 117.831 118.631 358.715
170000 125.796 121.525 122.935 370.256
180000 129.28 125.097 126.504 380.88
190000 132.276 127.275 130.318 389.868
200000 136.259 130.294 133.119 399.673
210000 138.203 133.526 136.367 408.097
220000 140.456 136.168 139.366 415.99
230000 143.875 139.482 143.209 426.566
240000 147.58 141.356 146.054 434.991
250000 149.04 143.84 148.907 441.787
260000 150.577 146.103 151.966 448.645
270000 153.865 148.115 154.769 456.749
280000 155.77 150.82 157.169 463.759
290000 158.448 153.076 159.698 471.222
300000 160.971 155.768 160.678 477.417
310000 163.859 158.04 162.564 484.463
320000 165.996 160.965 164.97 491.931
330000 168.191 163.55 166.808 498.549
340000 169.469 166.538 169.381 505.389
350000 171.022 168.703 171.028 510.754
360000 172.278 170.762 173.189 516.23
370000 174.101 172.57 173.892 520.563
380000 175.387 174.873 175.102 525.362
390000 177.049 177.171 177.421 531.641
400000 180.091 178.131 179.36 537.581
410000 182.921 180.236 182.156 545.313
420000 184.108 181.639 183.301 549.047
430000 186.216 183.957 184.574 554.747
440000 187.904 185.444 186.705 560.053
450000 189.303 185.812 187.685 562.799
460000 190.793 187.538 188.662 566.994
470000 193.343 189.89 190.553 573.786
480000 194.338 190.984 192.688 578.01
490000 196.468 193.181 193.324 582.973
500000 197.573 194.622 194.177 586.372
510000 199.351 196.898 197.037 593.287
520000 200.758 198.582 199.105 598.444
530000 201.613 199.839 200.537 601.989
540000 203.08 202.261 202.38 607.72
550000 204.248 204.134 205.138 613.521
560000 205.332 204.983 206.513 616.829
570000 207.043 205.74 207.988 620.771
580000 208.919 206.406 209.127 624.452
590000 209.854 208.02 209.974 627.847
600000 211.796 208.99 211.118 631.904
610000 213.895 209.765 213.565 637.225
620000 215.055 211.183 215.301 641.54
630000 216.128 212.424 215.682 644.235
640000 217.649 213.85 216.575 648.074
650000 218.287 216.232 217.384 651.903
660000 218.529 218.014 218.13 654.674
670000 219.19 219.364 218.441 656.996
680000 220.682 220.233 218.581 659.496
690000 221.017 220.236 219.218 660.472
700000 221.763 222.271 220.298 664.331
710000 223.431 223.061 220.252 666.744
720000 225.682 224.782 221.149 671.614
730000 226.628 226.02 222.76 675.409
740000 226.386 227.777 223.097 677.26
750000 226.991 227.416 224.303 678.71
760000 227.468 229.929 225.949 683.346
770000 227.691 230.922 226.785 685.398
780000 228.749 233.014 227.692 689.455
790000 230.358 234.312 230.328 694.998
800000 230.643 236.526 230.854 698.022
810000 231.652 237.228 232.481 701.361
820000 233.396 237.238 233.891 704.524
