# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
101000 3.65862
102000 3.66186
103000 3.65893
104000 3.66487
105000 3.66129
106000 3.66292
107000 3.6633
108000 3.65553
109000 3.66724
110000 3.6668
111000 3.65633
112000 3.6501
113000 3.64551
114000 3.65292
115000 3.64155
116000 3.66978
117000 3.64849
118000 3.64989
119000 3.65148
120000 3.6511
121000 3.65985
122000 3.6596
123000 3.65599
124000 3.64606
125000 3.65025
126000 3.64902
127000 3.65223
128000 3.64902
129000 3.64779
130000 3.64773
131000 3.66141
132000 3.64365
133000 3.64255
134000 3.6422
135000 3.64508
136000 3.65226
137000 3.63574
138000 3.63051
139000 3.63648
140000 3.62878
141000 3.6323
142000 3.62537
143000 3.60931
144000 3.60962
145000 3.59268
146000 3.60954
147000 3.6082
148000 3.60783
149000 3.61021
150000 3.61085
151000 3.64439
152000 3.64491
153000 3.62661
154000 3.62354
155000 3.63068
156000 3.63866
157000 3.6383
158000 3.64672
159000 3.64315
160000 3.65816
161000 3.6539
162000 3.6452
163000 3.64144
164000 3.63617
165000 3.63447
166000 3.64577
167000 3.63183
168000 3.63981
169000 3.63776
170000 3.64715
171000 3.66661
172000 3.66322
173000 3.64767
174000 3.62656
175000 3.62322
176000 3.61854
177000 3.61899
178000 3.63091
179000 3.63063
180000 3.61858
181000 3.62625
182000 3.63596
183000 3.62482
184000 3.62084
185000 3.62398
186000 3.62529
187000 3.62837
188000 3.6196
189000 3.63251
190000 3.62713
191000 3.65308
192000 3.66183
193000 3.64822
194000 3.64628
195000 3.64783
196000 3.6462
197000 3.64502
198000 3.6564
199000 3.6413
200000 3.64887
201000 3.66621
202000 3.64719
203000 3.6583
204000 3.63785
205000 3.64433
206000 3.65277
207000 3.67399
208000 3.66257
209000 3.65269
210000 3.63963
211000 3.66993
212000 3.68274
213000 3.66475
214000 3.64697
215000 3.64487
216000 3.6564
217000 3.6565
218000 3.65104
219000 3.63872
220000 3.64098
221000 3.66267
222000 3.64583
223000 3.64088
224000 3.62823
225000 3.62173
226000 3.6194
227000 3.63907
228000 3.6286
229000 3.6262
230000 3.63119
231000 3.66737
232000 3.63479
233000 3.63741
234000 3.63217
235000 3.63363
236000 3.6327
237000 3.62753
238000 3.63822
239000 3.6355
240000 3.63621
241000 3.66994
242000 3.65241
243000 3.64165
244000 3.62791
245000 3.64215
246000 3.6411
247000 3.64907
248000 3.6451
249000 3.65166
250000 3.63385
251000 3.65829
252000 3.64391
253000 3.63646
254000 3.63933
255000 3.64476
256000 3.62792
257000 3.63017
258000 3.61421
259000 3.63315
260000 3.61749
261000 3.65241
262000 3.63275
263000 3.63576
264000 3.63916
265000 3.63776
266000 3.6189
267000 3.61502
268000 3.62945
269000 3.61723
270000 3.61504
271000 3.65211
272000 3.62815
273000 3.61623
274000 3.61136
275000 3.60828
276000 3.6101
277000 3.60938
278000 3.60109
279000 3.6105
280000 3.62762
281000 3.61689
282000 3.61463
283000 3.6107
284000 3.62111
285000 3.60218
286000 3.60821
287000 3.61797
288000 3.61953
289000 3.60368
290000 3.61739
291000 3.63673
292000 3.62179
293000 3.63454
294000 3.62861
295000 3.64081
296000 3.64666
297000 3.63707
298000 3.6327
299000 3.63048
300000 3.62812
301000 3.61837
302000 3.61777
303000 3.61267
304000 3.61444
305000 3.61514
306000 3.62355
307000 3.61397
308000 3.61561
309000 3.5983
310000 3.60637
311000 3.64685
312000 3.63003
313000 3.62424
314000 3.62002
315000 3.62017
316000 3.63274
317000 3.61553
318000 3.63319
319000 3.61488
320000 3.62308
321000 3.69075
322000 3.65886
323000 3.64484
324000 3.63889
325000 3.63802
326000 3.63156
327000 3.62408
328000 3.61386
329000 3.61667
330000 3.63072
331000 3.65416
332000 3.65136
333000 3.64115
334000 3.63532
335000 3.64881
336000 3.64141
337000 3.64398
338000 3.63435
339000 3.64226
340000 3.61624
341000 3.65672
342000 3.63247
343000 3.62436
344000 3.59561
345000 3.59795
346000 3.6061
347000 3.58319
348000 3.58655
349000 3.59125
350000 3.58311
351000 3.69745
352000 3.65236
353000 3.62986
354000 3.61855
355000 3.62835
356000 3.62657
357000 3.62325
358000 3.61888
359000 3.60528
360000 3.61354
361000 3.65984
362000 3.62996
363000 3.61864
364000 3.62886
365000 3.6188
366000 3.61768
367000 3.62823
368000 3.61522
369000 3.61729
370000 3.60661
371000 3.64285
372000 3.60495
373000 3.60872
374000 3.59802
375000 3.60034
376000 3.59419
377000 3.58106
378000 3.58923
379000 3.58807
380000 3.59403
381000 3.61667
382000 3.58987
383000 3.58627
384000 3.5778
385000 3.5819
386000 3.59004
387000 3.58575
388000 3.60107
389000 3.5935
390000 3.59688
391000 3.64907
392000 3.62504
393000 3.62012
394000 3.60775
395000 3.6079
396000 3.59304
397000 3.60599
398000 3.62332
399000 3.60247
400000 3.61561
401000 3.63235
402000 3.62507
403000 3.62195
404000 3.61211
405000 3.62356
406000 3.61468
407000 3.61507
408000 3.60594
409000 3.61677
410000 3.61497
411000 3.6103
412000 3.61496
413000 3.61378
414000 3.6218
415000 3.60937
416000 3.63257
417000 3.60881
418000 3.61302
419000 3.60913
420000 3.61322
421000 3.62326
422000 3.62178
423000 3.61924
424000 3.61145
425000 3.614
426000 3.60315
427000 3.61255
428000 3.60698
429000 3.60668
430000 3.61943
431000 3.66181
432000 3.65492
433000 3.63816
434000 3.63542
435000 3.64526
436000 3.64159
437000 3.63777
438000 3.61339
439000 3.61792
440000 3.62213
441000 3.65679
442000 3.63177
443000 3.63673
444000 3.64008
445000 3.62965
446000 3.63589
447000 3.64501
448000 3.628
449000 3.63017
450000 3.63327
451000 3.66408
452000 3.6498
453000 3.64936
454000 3.64992
455000 3.64427
456000 3.64488
457000 3.63893
458000 3.64095
459000 3.64815
460000 3.64351
461000 3.68048
462000 3.66023
463000 3.65188
464000 3.65015
465000 3.64907
466000 3.64309
467000 3.62831
468000 3.63406
469000 3.64473
470000 3.64348
471000 3.64031
472000 3.62043
473000 3.61325
474000 3.63002
475000 3.64676
476000 3.63466
477000 3.61494
478000 3.63872
479000 3.62637
480000 3.62698
481000 3.64287
482000 3.64023
483000 3.62611
484000 3.63134
485000 3.62399
486000 3.63164
487000 3.6219
488000 3.62188
489000 3.6225
490000 3.62696
491000 3.62958
492000 3.63767
493000 3.62553
494000 3.63208
495000 3.63482
496000 3.62058
497000 3.63217
498000 3.62859
499000 3.63271
500000 3.63406
501000 3.62694
502000 3.62413
503000 3.62003
504000 3.62288
505000 3.63468
506000 3.62685
507000 3.62679
508000 3.62832
509000 3.62372
510000 3.6278
511000 3.64564
512000 3.61164
513000 3.60426
514000 3.595
515000 3.60875
516000 3.60037
517000 3.59293
518000 3.61199
519000 3.60145
520000 3.5996
521000 3.61751
522000 3.60652
523000 3.59787
524000 3.59966
525000 3.60281
526000 3.58832
527000 3.59523
528000 3.59617
529000 3.59764
530000 3.59595
531000 3.62516
532000 3.60701
533000 3.62023
534000 3.60142
535000 3.60386
536000 3.6055
537000 3.60308
538000 3.60894
539000 3.60929
540000 3.61434
541000 3.66612
542000 3.63841
