# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
11000 44.2441
12000 44.1616
13000 44.0876
14000 43.9138
15000 43.8047
16000 43.8513
17000 43.9624
18000 43.9616
19000 43.9192
20000 43.8897
21000 43.787
22000 43.5833
23000 43.4284
24000 43.3293
25000 43.2224
26000 43.1236
27000 42.9662
28000 42.8158
29000 42.6918
30000 42.5904
31000 42.4776
32000 42.32
33000 42.2281
34000 42.264
35000 42.277
36000 42.2027
37000 42.1445
38000 42.0706
39000 41.9894
40000 41.8355
41000 41.6818
42000 41.4919
43000 41.3892
44000 41.2473
45000 41.0693
46000 40.9273
47000 40.8047
48000 40.7254
49000 40.7084
50000 40.7184
51000 40.7145
52000 40.703
53000 40.6936
54000 40.7166
55000 40.7928
56000 40.9275
57000 40.989
58000 40.9808
59000 40.9958
60000 41.0902
61000 41.1151
62000 41.1084
63000 41.1046
64000 41.0564
65000 40.9701
66000 40.8734
67000 40.7842
68000 40.658
69000 40.5631
70000 40.4854
71000 40.4535
72000 40.4142
73000 40.3093
74000 40.1982
75000 40.0951
76000 39.954
77000 39.8233
78000 39.6786
79000 39.4831
80000 39.2649
81000 39.0738
82000 38.913
83000 38.7819
84000 38.6984
85000 38.6233
86000 38.5391
87000 38.4682
88000 38.447
89000 38.3352
90000 38.1009
91000 37.9302
92000 37.9105
93000 37.889
94000 37.8189
95000 37.8073
96000 37.8678
97000 37.9446
98000 37.9215
99000 37.9508
100000 37.9833
101000 37.9456
102000 37.9168
103000 37.8396
104000 37.7546
105000 37.6436
106000 37.5805
107000 37.5193
108000 37.5564
109000 37.5897
110000 37.6024
111000 37.5759
112000 37.5251
113000 37.5608
114000 37.4555
115000 37.4073
116000 37.4797
117000 37.4523
118000 37.3925
119000 37.3354
120000 37.257
121000 37.1405
122000 37.0472
123000 36.9989
124000 36.9824
125000 36.997
126000 37.0295
127000 37.0431
128000 36.9251
129000 36.7972
130000 36.7163
131000 36.7096
132000 36.6867
133000 36.6236
134000 36.5117
135000 36.3914
136000 36.3226
137000 36.3059
138000 36.3444
139000 36.3524
140000 36.3687
141000 36.4787
142000 36.5232
143000 36.444
144000 36.3223
145000 36.2154
146000 36.1664
147000 36.2225
148000 36.2315
149000 36.2331
150000 36.2488
151000 36.3065
152000 36.3664
153000 36.3473
154000 36.2515
155000 36.1947
156000 36.1003
157000 35.9689
158000 35.8614
159000 35.812
160000 35.7848
161000 35.7753
162000 35.7347
163000 35.718
164000 35.7105
165000 35.7229
166000 35.8337
167000 35.8572
168000 35.8041
169000 35.7334
170000 35.6854
171000 35.6285
172000 35.5999
173000 35.5487
174000 35.4782
175000 35.4211
176000 35.3844
177000 35.3128
178000 35.2388
179000 35.1281
180000 35.0494
181000 35.0461
182000 35.1133
183000 35.0874
184000 35.0278
185000 34.925
186000 34.86
187000 34.8182
188000 34.7326
189000 34.6689
190000 34.6924
191000 34.6693
192000 34.5743
193000 34.5391
194000 34.5928
195000 34.5788
196000 34.5653
197000 34.5938
198000 34.5929
199000 34.6115
200000 34.6365
201000 34.6111
202000 34.5674
203000 34.5552
204000 34.4716
205000 34.3378
206000 34.2406
207000 34.1471
208000 34.1043
209000 34.0826
210000 34.0639
211000 33.9808
212000 33.9387
213000 33.913
214000 33.8916
215000 33.9071
216000 33.8722
217000 33.8391
218000 33.8236
219000 33.8268
220000 33.8555
221000 33.8733
222000 33.8533
223000 33.8344
224000 33.8082
225000 33.7959
226000 33.8041
227000 33.8042
228000 33.7642
229000 33.6972
230000 33.5916
231000 33.5371
232000 33.5008
233000 33.4044
234000 33.3346
235000 33.2905
236000 33.329
237000 33.3983
