# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
1001000 29.4159
1002000 29.4888
1003000 29.3437
1004000 29.1571
1005000 28.9646
1006000 28.751
1007000 28.6161
1008000 28.4825
1009000 28.3995
1010000 28.3176
1011000 28.1354
1012000 27.9179
1013000 27.7764
1014000 27.6341
1015000 27.4774
1016000 27.3059
1017000 27.1073
1018000 26.9256
1019000 26.8334
1020000 26.7604
1021000 26.6482
1022000 26.5344
1023000 26.4609
1024000 26.2903
1025000 26.1019
1026000 25.9075
1027000 25.7781
1028000 25.6198
1029000 25.4771
1030000 25.3379
1031000 25.2189
1032000 25.1038
1033000 25.074
1034000 24.994
1035000 24.8393
1036000 24.7562
1037000 24.6393
1038000 24.5
1039000 24.387
1040000 24.236
1041000 24.0074
1042000 23.7498
1043000 23.5612
1044000 23.497
1045000 23.4343
1046000 23.2442
1047000 23.0376
1048000 22.9588
1049000 22.8924
1050000 22.8403
1051000 22.7559
1052000 22.6726
1053000 22.5862
1054000 22.4331
1055000 22.2276
1056000 22.0665
1057000 21.9774
1058000 21.846
1059000 21.7514
1060000 21.646
1061000 21.5146
1062000 21.391
1063000 21.2474
1064000 21.0938
1065000 20.8743
1066000 20.6872
1067000 20.6008
1068000 20.4419
1069000 20.2241
1070000 19.965
1071000 19.7357
1072000 19.5666
1073000 19.4709
1074000 19.405
1075000 19.3108
1076000 19.1915
1077000 19.1236
1078000 19.0094
1079000 18.8617
1080000 18.8117
1081000 18.7075
1082000 18.565
1083000 18.5537
1084000 18.5471
1085000 18.5066
1086000 18.4028
1087000 18.3238
1088000 18.2118
1089000 18.0578
1090000 17.8923
1091000 17.8002
1092000 17.7059
1093000 17.609
1094000 17.4558
1095000 17.2646
1096000 17.0861
1097000 16.8856
1098000 16.719
1099000 16.5467
1100000 16.4706
1101000 16.3678
1102000 16.2678
1103000 16.1275
1104000 15.9143
1105000 15.8467
1106000 15.7484
1107000 15.6087
1108000 15.5622
1109000 15.4815
1110000 15.3746
1111000 15.3798
1112000 15.3714
1113000 15.3348
1114000 15.3278
1115000 15.2172
1116000 15.0734
1117000 14.9432
1118000 14.759
1119000 14.625
1120000 14.5449
1121000 14.5314
1122000 14.4204
1123000 14.2717
1124000 14.141
1125000 14.0414
1126000 13.9838
1127000 13.9122
1128000 13.8296
1129000 13.6801
1130000 13.5425
1131000 13.5114
1132000 13.4769
1133000 13.3875
1134000 13.3452
1135000 13.2727
1136000 13.2543
1137000 13.2062
1138000 13.1207
1139000 13.0272
1140000 12.9289
1141000 12.8611
1142000 12.7985
1143000 12.6839
1144000 12.4909
1145000 12.3067
1146000 12.1732
1147000 12.0887
1148000 12.0728
1149000 12.0542
1150000 11.9949
1151000 11.8914
1152000 11.738
1153000 11.6359
1154000 11.5848
1155000 11.5647
1156000 11.5201
1157000 11.422
1158000 11.2783
1159000 11.0615
1160000 10.8373
1161000 10.6275
1162000 10.4185
1163000 10.2328
1164000 10.0773
1165000 9.86275
1166000 9.63018
1167000 9.45178
1168000 9.25516
1169000 9.09439
1170000 8.90377
1171000 8.7785
1172000 8.67071
1173000 8.53769
1174000 8.42578
1175000 8.38699
1176000 8.40092
1177000 8.39671
1178000 8.26189
1179000 8.14343
1180000 8.05529
1181000 7.99325
1182000 7.98226
1183000 7.98857
1184000 7.93492
1185000 7.89563
1186000 7.86363
1187000 7.83093
1188000 7.84481
1189000 7.83189
1190000 7.72985
1191000 7.61443
1192000 7.55286
1193000 7.47472
1194000 7.40474
1195000 7.35243
1196000 7.29605
1197000 7.28366
1198000 7.31053
1199000 7.27361
1200000 7.20874
1201000 7.11366
1202000 7.03733
1203000 6.9636
1204000 6.95876
1205000 6.87084
1206000 6.7566
