ITEM: TIMESTEP
10000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
11 2
12 1
13 1
14 3
15 3
16 3
17 1
18 3
19 3
20 1
21 1
22 1
24 1
23 1
25 2
26 3
27 2
28 2
2 1
1 2
3 2
4 2
5 2
6 2
7 3
8 1
9 2
10 1
29 3
30 1
31 2
32 1
33 1
34 2
35 2
36 3
37 3
38 1
39 2
40 1
41 3
43 3
42 1
44 2
45 3
46 2
47 3
48 3
49 2
50 2
51 3
52 3
53 2
55 3
54 3
56 2
57 2
58 3
59 3
60 1
61 1
62 2
63 3
64 3
65 1
66 3
67 1
68 2
69 3
71 2
70 1
72 3
73 3
74 1
75 3
76 3
78 1
77 2
79 2
80 3
ITEM: TIMESTEP
20000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
14 3
15 3
16 3
17 1
18 3
19 3
21 1
20 1
22 1
23 1
24 1
25 2
26 3
28 2
27 2
29 3
30 1
31 2
32 1
33 1
34 2
2 1
1 2
8 1
6 2
4 2
3 2
5 2
7 3
10 1
13 1
11 2
12 1
9 2
35 2
36 3
37 3
38 1
39 2
40 1
42 1
41 3
43 3
49 2
45 3
44 2
46 2
47 3
48 3
51 3
53 2
50 2
52 3
55 3
54 3
56 2
57 2
58 3
59 3
60 1
61 1
62 2
63 3
64 3
65 1
66 3
67 1
68 2
69 3
71 2
70 1
72 3
73 3
74 1
75 3
76 3
77 2
79 2
78 1
80 3
ITEM: TIMESTEP
30000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
24 1
25 2
26 3
27 2
28 2
29 3
30 1
31 2
32 1
33 1
34 2
4 2
2 1
6 2
5 2
8 1
7 3
9 2
10 1
11 2
12 1
13 1
16 3
14 3
15 3
17 1
21 1
20 1
18 3
19 3
22 1
23 1
35 2
36 3
37 3
39 2
38 1
41 3
40 1
42 1
3 2
1 2
47 3
49 2
43 3
45 3
44 2
46 2
48 3
50 2
51 3
52 3
53 2
54 3
55 3
56 2
57 2
58 3
59 3
60 1
61 1
62 2
63 3
64 3
65 1
66 3
67 1
68 2
69 3
71 2
70 1
72 3
73 3
74 1
75 3
76 3
77 2
78 1
79 2
80 3
ITEM: TIMESTEP
40000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
26 3
27 2
28 2
29 3
30 1
31 2
32 1
33 1
34 2
35 2
36 3
8 1
9 2
10 1
11 2
6 2
12 1
13 1
16 3
14 3
15 3
17 1
18 3
19 3
20 1
21 1
24 1
25 2
22 1
23 1
37 3
39 2
38 1
41 3
40 1
42 1
43 3
44 2
45 3
46 2
2 1
1 2
3 2
4 2
7 3
5 2
47 3
49 2
48 3
50 2
51 3
52 3
53 2
54 3
55 3
57 2
56 2
58 3
59 3
60 1
65 1
61 1
62 2
63 3
64 3
66 3
67 1
68 2
73 3
69 3
71 2
70 1
72 3
74 1
75 3
76 3
77 2
78 1
79 2
80 3
ITEM: TIMESTEP
50000
