# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
11000 16.2697
12000 16.2526
13000 16.196
14000 16.1502
15000 16.0466
16000 16.0032
17000 15.8725
18000 15.7912
19000 15.7617
20000 15.6313
21000 15.542
22000 15.5579
23000 15.5555
24000 15.4247
25000 15.3737
26000 15.3186
27000 15.3728
28000 15.5199
29000 15.5234
30000 15.3913
31000 15.3935
32000 15.4199
33000 15.2572
34000 15.1863
35000 15.1445
36000 15.0334
37000 14.9139
38000 14.8141
39000 14.7275
40000 14.654
41000 14.6046
42000 14.5399
43000 14.4908
44000 14.4464
45000 14.4674
46000 14.5714
47000 14.658
48000 14.6342
49000 14.5685
50000 14.5201
51000 14.4655
52000 14.5037
53000 14.5314
54000 14.4919
55000 14.4781
56000 14.4472
57000 14.4585
58000 14.6517
59000 14.7282
60000 14.6977
61000 14.5336
62000 14.494
63000 14.3568
64000 14.1012
65000 14.0053
66000 14.0382
67000 14.0912
68000 14.2256
69000 14.3762
70000 14.3752
71000 14.3867
