# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
1011000 96.6931
1012000 97.486
1013000 97.5411
1014000 101.461
1015000 101.614
1016000 101.741
1017000 105.309
1018000 102.908
1019000 102.097
1020000 104.685
1021000 108.709
1022000 113.368
1023000 112.059
1024000 111.918
1025000 106.652
1026000 97.6198
1027000 102.974
1028000 97.8354
1029000 98.7539
1030000 99.8701
1031000 99.1958
1032000 105.602
1033000 101.264
1034000 101.389
1035000 100.068
1036000 101.565
1037000 97.257
1038000 100.884
1039000 103.739
1040000 99.6879
1041000 101.716
1042000 97.9204
1043000 103.26
1044000 101.57
1045000 98.9816
1046000 101.413
1047000 104.065
1048000 100.583
1049000 96.8587
1050000 99.1274
1051000 99.3834
1052000 96.1579
1053000 93.8349
1054000 93.157
1055000 97.2317
1056000 99.7457
1057000 92.7556
1058000 95.0076
1059000 97.658
1060000 99.5974
1061000 91.921
1062000 91.7555
1063000 87.0062
1064000 89.6881
1065000 92.8603
1066000 93.6729
1067000 92.7285
1068000 90.2805
1069000 89.0344
1070000 95.5273
1071000 90.5768
1072000 92.3281
1073000 96.2855
1074000 93.1712
1075000 95.5357
1076000 103.084
1077000 96.2675
1078000 100.41
1079000 101.21
1080000 99.788
1081000 100.166
1082000 103.058
1083000 95.0423
1084000 95.6319
1085000 92.5409
1086000 91.2723
1087000 94.0806
1088000 92.7039
1089000 89.3716
1090000 95.4442
1091000 92.0766
1092000 93.6872
1093000 94.6597
1094000 95.8591
1095000 86.4952
1096000 90.2416
1097000 89.5036
1098000 93.9254
1099000 104.915
1100000 104.381
1101000 101.463
1102000 95.6647
1103000 89.1252
1104000 90.4053
1105000 98.3063
1106000 93.2
1107000 99.0029
1108000 96.9872
1109000 97.5132
1110000 99.2016
1111000 94.9285
1112000 100.068
1113000 106.83
1114000 105.483
1115000 96.8381
1116000 91.92
1117000 88.3744
1118000 94.569
1119000 100.173
1120000 92.9561
1121000 95.329
1122000 102.088
1123000 97.9833
1124000 96.2714
