# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
101000 0 0 1 0
102000 0 0 1 0
103000 0 0 1 0.74
104000 0 0 1 1
105000 0 0 1.78 1
106000 0 0 2 1
107000 0 0 2 1
108000 0 0 2.46 1
109000 0.37 0 3 1
110000 1 0 3 1.51
111000 1 0 3 2
112000 1 0 3 2
113000 1 0.4 3 2
114000 1 1.49 3 2.36
115000 1.62 2 3 3
116000 2 2 3 3
117000 2 2 3 3
118000 2 2.87 3 3
119000 2 3 3 3.8
120000 2 3 3 4
121000 2 3 3 4
122000 2 3 3 4.88
123000 2 3 3 5
124000 2 3 4.02 5
125000 2 3 5 5
126000 2 3 5 5
127000 2 3 5 5
128000 2 3 5 5
129000 2 3 5 5
130000 2 3 5 5
131000 2 3 5 5
132000 2 3 5 5.97
133000 2 3 5 6
134000 2 3 5.13 6
135000 2 3 6 6.39
136000 2 3 6 7
137000 2 3 6 7
138000 2 3 6 7
139000 2 3.88 6.72 7
140000 2 4.73 7 7
141000 2 5 7 7
142000 2.31 5 7.59 7
143000 3 5.77 8 7.87
144000 3.88 6 9.13 8
145000 4 6 10 8.97
146000 4 6 11.16 9
147000 4.58 6 12 9
148000 5 6 12 9
149000 5 6 12 9
150000 5 6 12 9.82
151000 5 6 12 10
152000 5 6 12 10
153000 5 6 12 10
154000 5 6 12 10
155000 5 6 12 10
156000 5 6 12 10
157000 5 6 12 10
158000 5 6 12 10
159000 5 6 12 10
160000 5 6 12 10
161000 5 6 12 10
162000 5.15 6 12 10
163000 7 6 12 10.77
164000 7 6 12.83 11
165000 7 6 14 11
166000 7 6 14 11.75
167000 7 6 14 12.92
168000 7 6 14 13
169000 7 6 14 13.95
170000 7 6 14 14
171000 7 6.51 14.8 14
172000 7 7 15 14
173000 7 7 15 14
174000 7 7 15 14
175000 7.41 7 15.71 14.32
176000 9.05 7 16 15
177000 10 7 16 15
178000 10 7 16.04 15
179000 10 7 17 15
180000 10 7 17 15
181000 10 7 17 15.92
182000 10 7 17 16
183000 10 7 17 16
184000 10 7 17 16
185000 10 7 17.53 16
186000 10 7 18 16
187000 10 7 18 16
188000 10 7 18 16
189000 10 7 18 16
190000 10 7 18 16
191000 10 7 18 16
192000 10 7 18 16
193000 10 7 18 16
194000 10 7 18 16
195000 10.74 7 18 16
196000 11 7 18 16
197000 11 7 18 16
198000 11 7 18.9 16
199000 11.96 7 19 16
200000 12 7 19 16.97
201000 12 7 19 17
202000 12 7 19 17
203000 12.26 7 19.35 17
204000 13 7 20 17.62
205000 13 7 20 18
206000 13 7 20.11 18
207000 13 7 22.64 18
208000 13 7 23.44 18
209000 13 7 24.93 18
210000 13 7 26 18
211000 13 7 26 18
212000 13 7 26 18.26
213000 13 7 26 19
214000 13 7 26.18 19.43
215000 13 7 27 20
216000 13 7 27.98 20.56
217000 13 7 28 21
218000 13 7 28 21
219000 13 7 28 21
220000 13 7 28 21
221000 13 7 28 21
222000 13 7 28 21
223000 13 7 28 21
224000 13 7 28 21.55
225000 13 7 28 22
226000 13 7 28 22
227000 13 7 28 22
228000 13 7 28 22
229000 13 7 28 22
230000 13 7.67 28 22
231000 13 8 28 22
232000 13 8 28 22
233000 13 8 28 22.75
234000 13 8 28 23
235000 13 8 28 23
