ITEM: TIMESTEP
1000000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
22 2
20 2
21 2
58 3
23 1
19 2
56 3
55 2
57 1
40 2
18 1
42 2
44 1
45 1
43 1
80 3
51 1
46 2
47 2
41 1
78 1
62 3
48 1
16 3
24 2
25 3
26 3
27 2
28 1
49 2
31 2
17 3
67 3
65 1
66 2
72 1
4 2
14 1
15 3
69 2
54 3
53 3
29 1
6 1
5 1
63 3
64 1
30 3
75 2
70 3
10 2
12 1
77 2
7 3
11 1
8 3
60 3
61 3
59 3
76 3
71 1
9 1
73 2
74 1
3 3
13 1
68 2
32 1
33 2
39 2
52 2
79 3
2 3
50 1
36 3
34 1
35 1
38 1
37 1
1 3
ITEM: TIMESTEP
1010000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
42 2
40 2
22 2
20 2
21 2
23 1
19 2
24 2
80 3
48 1
79 3
50 1
58 3
57 1
2 3
56 3
44 2
45 1
46 2
47 2
49 2
59 3
60 3
43 1
41 1
39 2
78 1
35 1
55 2
34 1
17 3
51 1
62 3
52 2
25 3
26 3
27 2
28 1
31 2
67 3
65 1
66 2
72 1
4 2
14 1
15 3
69 2
54 3
53 3
29 1
6 1
5 1
63 3
64 1
30 3
75 2
10 2
12 1
77 2
7 3
11 1
8 3
61 3
76 3
71 1
9 1
73 2
74 1
3 3
13 1
32 1
33 2
37 1
1 3
16 3
18 1
38 1
70 3
36 3
68 2
ITEM: TIMESTEP
1020000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
46 3
40 2
22 2
21 2
23 1
24 2
20 2
42 2
58 2
80 3
38 1
37 1
39 3
36 3
50 1
79 3
35 1
34 1
49 2
44 2
45 1
60 3
19 2
43 1
41 1
59 3
4 2
6 1
16 3
48 1
57 1
2 3
56 3
47 1
78 1
55 2
17 3
51 1
62 3
52 2
25 3
26 3
27 3
28 1
31 2
67 3
65 1
66 2
72 1
14 1
15 3
18 1
54 3
53 3
29 1
5 1
63 3
64 1
30 3
75 2
10 2
12 1
77 2
7 3
11 1
8 3
61 3
76 3
71 1
9 2
73 2
74 1
3 3
13 1
32 1
33 2
68 2
69 2
1 3
70 3
ITEM: TIMESTEP
1030000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
18 1
22 2
21 2
20 2
19 2
40 2
42 2
38 1
37 1
36 3
35 1
34 1
68 2
1 3
66 2
16 3
67 3
2 3
69 2
41 1
52 1
33 2
23 1
50 1
80 3
39 3
79 3
24 2
44 2
48 1
51 1
43 1
46 3
58 2
49 2
45 1
60 3
59 3
4 1
6 2
57 1
56 3
47 1
78 1
55 2
17 3
62 2
25 3
26 3
27 3
28 1
31 2
65 1
32 1
14 1
15 3
54 3
53 3
29 1
5 1
63 3
64 1
30 3
75 3
10 2
12 1
77 2
7 3
11 1
8 3
61 3
76 3
9 2
73 2
74 1
3 3
13 1
70 3
72 1
71 2
ITEM: TIMESTEP
1040000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
38 1
18 1
22 2
21 2
20 2
19 2
40 2
23 1
42 2
56 3
57 1
41 1
39 3
55 1
17 3
4 1
36 3
35 1
34 1
33 2
68 2
66 2
37 1
67 3
32 1
24 2
58 2
1 3
52 1
74 1
80 2
13 1
16 3
2 3
3 3
50 1
79 3
44 2
48 1
51 1
43 1
46 2
49 1
45 2
60 3
59 3
6 2
47 1
78 1
62 2
25 3
26 3
27 3
28 1
31 2
65 1
14 1
15 3
54 3
53 3
29 1
5 2
63 2
64 1
30 3
75 3
10 2
9 2
77 2
7 3
11 1
8 3
61 3
76 3
12 1
71 2
70 3
72 1
73 2
69 2
ITEM: TIMESTEP
1050000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
80 2
18 1
38 1
17 3
2 3
71 2
70 3
1 3
16 3
69 3
19 2
20 2
22 2
21 2
40 2
23 1
42 2
41 1
39 2
24 2
56 3
57 1
55 1
58 2
59 2
73 2
74 1
72 1
54 3
68 2
37 1
36 3
35 1
34 1
33 2
66 2
67 3
65 1
15 3
52 1
14 1
32 1
64 1
13 1
53 3
4 1
25 3
3 3
50 1
43 1
5 3
79 2
44 2
48 1
51 1
46 2
49 1
45 2
60 3
6 3
47 1
78 1
62 2
26 3
27 3
28 1
31 2
29 1
63 2
30 3
75 3
10 2
9 2
77 2
7 3
11 1
8 3
61 3
76 3
12 1
ITEM: TIMESTEP
1060000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
80 2
48 1
36 3
37 1
18 1
17 3
54 3
38 1
19 2
20 2
22 2
21 2
40 2
23 1
39 2
56 3
2 3
41 1
4 1
79 1
57 1
55 1
42 2
58 2
69 3
68 2
70 3
16 3
35 1
34 1
33 2
66 1
67 3
65 1
14 1
32 1
64 1
31 2
1 3
52 1
50 1
30 3
15 3
59 2
24 2
71 2
12 1
53 3
73 2
74 1
13 1
25 3
3 3
43 1
5 3
44 2
51 1
46 2
49 1
45 2
60 3
6 3
47 1
78 1
62 2
26 3
27 3
28 1
29 1
63 3
75 3
10 2
9 2
77 3
7 3
11 1
8 3
61 3
76 3
72 1
ITEM: TIMESTEP
1070000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
80 2
48 1
36 3
37 1
35 1
52 1
16 3
1 3
69 3
70 3
38 1
51 1
2 3
17 3
53 3
15 3
18 1
54 3
19 2
68 2
3 3
71 2
34 1
50 1
39 2
72 1
67 2
14 1
56 3
79 1
55 1
49 1
20 2
22 2
21 2
40 2
23 1
41 1
4 1
42 2
43 2
57 1
78 1
58 2
5 3
44 2
77 3
24 2
59 2
25 3
45 2
76 2
6 3
73 2
74 1
60 3
75 3
26 3
27 3
47 1
33 2
66 1
32 1
31 2
30 3
13 1
29 1
12 1
65 1
11 1
61 3
8 3
64 1
46 2
62 2
28 1
63 3
10 2
9 2
7 3
ITEM: TIMESTEP
1080000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
80 2
36 3
37 1
35 1
52 1
16 3
1 3
17 3
15 3
18 1
34 1
68 3
14 1
51 1
33 2
69 3
67 1
50 1
13 1
2 3
70 3
38 1
54 3
53 3
71 2
19 2
73 2
3 2
39 2
20 2
75 3
79 1
55 1
4 1
56 3
22 2
21 2
40 2
23 1
41 1
42 2
43 2
57 1
58 2
5 3
77 3
24 2
59 2
25 3
74 1
72 1
78 2
6 3
76 2
32 1
66 1
31 2
30 3
49 1
29 1
12 1
44 2
60 3
9 2
65 1
45 2
48 1
26 3
7 3
11 1
47 1
27 3
61 3
8 3
64 1
46 2
62 2
28 1
63 3
10 2
ITEM: TIMESTEP
1090000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
36 3
37 1
35 1
16 3
15 3
34 1
14 1
17 3
1 3
53 3
54 3
33 2
32 1
68 3
52 1
69 3
18 1
13 1
38 1
70 3
2 3
71 2
19 2
73 2
3 2
39 2
20 2
75 3
55 2
4 2
56 3
22 2
21 2
40 2
23 1
41 1
42 2
57 1
58 2
5 3
24 2
59 2
74 1
76 1
25 3
72 1
60 3
6 3
77 3
7 3
61 3
9 2
27 3
8 3
78 2
79 1
26 3
31 2
67 1
51 1
50 1
66 1
30 3
46 2
62 2
49 1
43 2
80 2
48 1
63 3
65 1
64 1
29 1
28 1
44 2
45 2
47 1
10 2
12 1
11 1
ITEM: TIMESTEP
1100000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
36 3
35 1
34 1
33 1
32 1
14 1
52 1
16 3
37 1
1 3
38 1
68 3
69 3
54 3
15 3
17 3
70 3
18 1
13 1
71 2
2 3
53 3
19 2
73 2
3 2
39 2
20 2
75 3
55 2
4 2
56 3
22 2
21 2
40 2
23 1
41 1
42 2
57 1
58 2
5 3
24 2
59 2
74 1
76 1
25 3
72 1
60 3
7 3
43 2
67 1
44 2
77 3
78 1
80 2
30 3
11 1
28 1
6 3
61 3
8 3
51 1
66 1
26 3
27 3
31 2
65 1
50 1
64 1
29 1
45 2
47 1
79 1
46 2
62 2
49 1
48 1
63 3
10 2
9 2
12 1
ITEM: TIMESTEP
1110000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
ITEM: ATOMS id type
36 3
38 1
39 2
40 2
34 1
33 1
14 1
12 1
16 3
13 1
15 3
70 3
1 3
68 3
32 1
72 1
71 2
73 2
54 3
69 3
35 1
31 2
52 1
74 1
37 1
11 1
17 3
18 2
2 3
53 3
19 2
3 2
20 2
75 1
55 2
4 1
56 3
22 2
21 2
23 1
41 1
42 2
57 1
58 2
5 3
24 2
59 3
76 1
25 3
60 3
7 3
43 2
67 1
77 3
78 1
6 3
61 3
51 1
26 3
27 3
29 1
28 2
62 2
44 2
79 1
80 2
45 2
9 2
8 3
63 3
65 1
10 2
30 3
66 1
46 2
50 1
64 1
48 1
49 1
47 1
ITEM: TIMESTEP
1120000
ITEM: NUMBER OF ATOMS
80
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
0.0000000000000000e+00 2.0000000000000000e+02
