# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
1001000 2.10947
1002000 2.12048
1003000 2.13198
1004000 2.11258
1005000 2.12646
1006000 2.11139
1007000 2.15324
1008000 2.1168
1009000 2.14419
1010000 2.15167
1011000 2.10412
1012000 2.15149
1013000 2.13635
1014000 2.12307
1015000 2.1269
1016000 2.10387
1017000 2.09076
1018000 2.13456
1019000 2.11305
1020000 2.11522
1021000 2.09988
1022000 2.11079
1023000 2.12657
1024000 2.10288
1025000 2.11125
1026000 2.11112
1027000 2.12255
1028000 2.09529
1029000 2.1119
1030000 2.08316
1031000 2.11203
1032000 2.07671
1033000 2.08753
1034000 2.10874
1035000 2.09862
1036000 2.16117
1037000 2.09183
1038000 2.12827
1039000 2.09347
1040000 2.11174
1041000 2.07809
1042000 2.06674
1043000 2.06697
1044000 2.07738
1045000 2.0724
1046000 2.12436
1047000 2.06794
1048000 2.12253
1049000 2.07427
1050000 2.0911
1051000 2.10221
1052000 2.1011
1053000 2.07506
1054000 2.06524
1055000 2.10653
1056000 2.08021
1057000 2.07594
1058000 2.06825
1059000 2.08567
1060000 2.05902
1061000 2.09465
1062000 2.06059
1063000 2.07038
1064000 2.11358
1065000 2.05473
1066000 2.06856
1067000 2.05082
1068000 2.0758
1069000 2.05776
1070000 2.10741
1071000 2.1048
1072000 2.09605
1073000 2.076
1074000 2.09742
1075000 2.09853
1076000 2.07937
1077000 2.0384
1078000 2.04247
1079000 2.08718
1080000 2.06263
1081000 2.11766
1082000 2.07564
1083000 2.10224
1084000 2.10326
1085000 2.07594
1086000 2.06154
1087000 2.0908
1088000 2.09274
1089000 2.06644
1090000 2.11121
1091000 2.06875
1092000 2.05754
1093000 2.06305
1094000 2.07698
1095000 2.06044
1096000 2.10495
1097000 2.05238
1098000 2.10708
1099000 2.08513
1100000 2.068
1101000 2.11473
1102000 2.09841
1103000 2.07381
1104000 2.06866
1105000 2.10186
1106000 2.0996
1107000 2.07577
1108000 2.07819
1109000 2.06545
1110000 2.11457
1111000 2.07978
1112000 2.04906
1113000 2.10842
1114000 2.08441
1115000 2.06534
1116000 2.06585
1117000 2.07233
1118000 2.12874
1119000 2.05479
1120000 2.08671
1121000 2.05065
1122000 2.0587
1123000 2.07136
1124000 2.05545
1125000 2.08952
1126000 2.08534
1127000 2.07643
1128000 2.10139
1129000 2.10446
1130000 2.06257
1131000 2.06693
1132000 2.06769
1133000 2.07229
1134000 2.08229
1135000 2.08265
1136000 2.04839
1137000 2.07647
1138000 2.03515
1139000 2.09798
1140000 2.06439
1141000 2.05576
1142000 2.04389
1143000 2.05229
1144000 2.07854
1145000 2.07963
1146000 2.02795
1147000 2.08048
1148000 2.03627
1149000 2.06339
1150000 2.07167
1151000 2.07436
1152000 2.08795
1153000 2.06834
1154000 2.05279
1155000 2.07011
1156000 2.04828
1157000 2.01395
1158000 2.08597
1159000 2.05409
1160000 2.02391
1161000 2.0635
1162000 2.0435
1163000 2.05675
1164000 2.06787
1165000 2.05938
1166000 2.02908
1167000 2.05797
1168000 2.04942
1169000 2.03914
1170000 2.05058
1171000 2.02697
1172000 2.03014
1173000 2.02218
1174000 2.02884
1175000 2.02785
1176000 2.04499
1177000 2.05214
1178000 2.05566
1179000 2.02089
1180000 2.01947
1181000 2.04607
1182000 2.04138
1183000 2.03088
1184000 2.04249
1185000 2.01418
1186000 2.02297
1187000 2.03162
1188000 2.02077
1189000 2.02532
1190000 2.00722
1191000 2.00458
1192000 1.98225
1193000 2.01883
1194000 2.06041
1195000 2.01953
1196000 2.02837
1197000 2.04685
1198000 2.02006
1199000 2.06675
1200000 2.03837
1201000 2.04157
1202000 2.00404
1203000 2.03552
1204000 1.9991
1205000 2.00343
1206000 2.03377
1207000 2.02189
1208000 2.02497
1209000 2.06215
1210000 2.0229
1211000 2.04262
1212000 2.03514
1213000 2.04724
1214000 2.05903
1215000 2.04296
1216000 2.05813
1217000 2.05724
1218000 2.01925
1219000 2.0344
1220000 2.00795
1221000 2.04614
1222000 2.04536
1223000 2.00611
1224000 2.03651
1225000 2.03406
1226000 1.99013
1227000 2.03613
1228000 2.04115
1229000 2.01112
1230000 2.03301
1231000 2.00169
1232000 2.02336
1233000 2.00942
1234000 2.02756
