# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
1001000 4.38093
1002000 4.29684
1003000 4.16641
1004000 4.06843
1005000 3.97829
1006000 3.8576
1007000 3.74959
1008000 3.6992
1009000 3.73645
1010000 3.7803
1011000 3.74876
1012000 3.65294
1013000 3.5947
1014000 3.61811
1015000 3.60971
1016000 3.51875
1017000 3.42544
1018000 3.44988
1019000 3.58112
1020000 3.67541
1021000 3.69114
1022000 3.62144
1023000 3.54754
1024000 3.51957
1025000 3.56407
1026000 3.5736
1027000 3.60489
1028000 3.48388
1029000 3.38611
1030000 3.44965
1031000 3.57322
1032000 3.56806
1033000 3.51664
1034000 3.41549
1035000 3.35245
1036000 3.35583
1037000 3.24184
1038000 3.12966
1039000 3.18192
1040000 3.15079
1041000 3.04206
1042000 3.02871
1043000 2.94907
1044000 2.86794
1045000 2.89357
1046000 2.90148
1047000 2.79718
1048000 2.75738
1049000 2.72541
1050000 2.67617
1051000 2.63853
1052000 2.63213
1053000 2.65358
1054000 2.96548
1055000 2.81252
1056000 2.75092
1057000 2.74707
1058000 2.65675
1059000 2.54291
1060000 2.42048
1061000 2.38586
1062000 2.28111
1063000 2.17541
1064000 2.17282
1065000 2.18019
1066000 2.30552
1067000 2.35887
1068000 2.27618
1069000 2.27276
1070000 2.44656
1071000 2.57066
1072000 2.35959
1073000 2.17593
1074000 2.09892
1075000 2.13851
1076000 2.30004
1077000 2.22685
1078000 2.21137
1079000 2.14545
1080000 2.00211
1081000 2.02818
1082000 2.10534
1083000 2.18896
1084000 2.34093
1085000 2.40626
1086000 2.33599
1087000 2.28074
1088000 2.32669
1089000 2.30053
1090000 2.28217
1091000 2.26332
1092000 2.17736
1093000 2.1097
1094000 2.24643
1095000 2.33972
1096000 2.26145
1097000 2.67534
1098000 3.85281
1099000 2.98889
1100000 2.57843
1101000 2.42557
1102000 2.50921
1103000 2.58712
1104000 2.75119
1105000 2.68871
1106000 2.66032
1107000 2.60739
1108000 2.70343
1109000 2.58085
1110000 2.47437
1111000 2.3841
1112000 2.31973
1113000 2.31218
1114000 2.2752
1115000 2.24057
1116000 2.18342
1117000 2.18601
1118000 2.18563
1119000 2.14111
1120000 2.07486
1121000 1.97077
1122000 2.3372
1123000 2.56764
1124000 2.62216
1125000 2.52069
1126000 2.4588
1127000 2.45382
1128000 2.63331
1129000 2.67059
1130000 2.50125
1131000 2.32976
1132000 2.28505
1133000 2.27996
1134000 2.04091
1135000 1.95248
1136000 1.97771
1137000 1.93132
1138000 1.97432
1139000 1.96951
1140000 2.00766
1141000 2.03993
1142000 1.96365
1143000 2.09009
1144000 2.21156
1145000 2.33849
1146000 2.28912
1147000 2.38608
1148000 2.41514
1149000 2.62823
1150000 2.58839
1151000 2.37714
1152000 2.40218
1153000 2.33448
1154000 2.19775
1155000 1.95237
1156000 1.90181
1157000 2.01941
1158000 2.09156
1159000 1.97614
1160000 1.95852
1161000 2.07336
1162000 2.13258
1163000 2.26205
1164000 2.16663
1165000 2.03819
1166000 2.14029
1167000 2.1625
1168000 2.21828
1169000 2.15034
1170000 2.05822
1171000 2.04833
1172000 2.1813
1173000 2.15823
1174000 1.95066
1175000 1.88236
1176000 1.96523
1177000 1.96931
1178000 2.06889
1179000 2.08216
1180000 2.04505
1181000 2.05823
1182000 2.07268
1183000 1.98342
1184000 2.08937
1185000 2.15345
1186000 2.16425
1187000 2.18652
1188000 2.2409
1189000 2.17417
1190000 2.11683
1191000 2.07876
1192000 2.08425
1193000 2.23641
1194000 2.31118
1195000 2.34252
1196000 2.31102
1197000 2.14986
1198000 2.23522
1199000 2.40709
1200000 2.36307
1201000 2.24227
1202000 2.1002
1203000 1.98048
1204000 1.93532
1205000 2.30446
1206000 2.37889
1207000 2.34771
1208000 2.36665
1209000 2.3012
1210000 2.26697
1211000 2.20014
1212000 2.12111
1213000 2.09812
1214000 2.23901
1215000 2.2105
1216000 2.04538
1217000 1.99144
1218000 1.96388
1219000 1.92051
1220000 2.06576
1221000 2.22589
1222000 2.19181
1223000 2.25624
1224000 2.26848
1225000 2.20334
1226000 2.21667
1227000 2.17899
1228000 2.09913
1229000 2.09083
1230000 2.13835
1231000 2.0752
1232000 1.94482
1233000 1.89862
1234000 1.93576
1235000 2.03272
1236000 2.07393
1237000 2.08173
1238000 2.16093
1239000 2.2093
1240000 2.28009
1241000 2.21996
1242000 2.12375
1243000 2.13698
1244000 2.07817
1245000 2.14985
1246000 2.23601
1247000 2.14923
1248000 2.12809
1249000 2.10017
1250000 2.05941
1251000 2.01952
1252000 1.95999
1253000 1.979
1254000 2.2821
1255000 2.15534
1256000 2.16074
1257000 2.28922
1258000 2.30457
1259000 2.39336
1260000 2.25155
1261000 2.14822
1262000 2.23308
1263000 2.28611
1264000 2.09727
1265000 1.95385
1266000 1.87077
1267000 1.94237
1268000 1.97525
1269000 1.97533
1270000 1.94161
1271000 1.9669
1272000 1.92768
1273000 1.86576
1274000 1.95129
1275000 2.08535
1276000 2.05143
1277000 2.08265
1278000 2.22432
1279000 2.18617
1280000 2.16416
1281000 2.10493
1282000 2.07366
1283000 2.04594
1284000 2.02801
1285000 1.95796
1286000 1.98146
1287000 2.00218
1288000 2.09885
1289000 2.06747
1290000 1.9274
