# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
101000 2.12342
102000 2.03218
103000 1.99188
104000 1.96788
105000 1.747
106000 1.09014
107000 1.07723
108000 1.07746
109000 1.07954
110000 1.07359
111000 1.07225
112000 1.07055
113000 1.06724
114000 1.06446
115000 1.05867
116000 1.05847
117000 1.05441
118000 1.05463
119000 1.05022
120000 1.04514
121000 1.04669
122000 1.04331
123000 1.0454
124000 1.04149
125000 1.04007
126000 1.03912
127000 1.03948
128000 1.03912
129000 1.03921
130000 1.03703
131000 1.03687
132000 1.03625
133000 1.03559
134000 1.03472
135000 1.03444
136000 1.0341
137000 1.03422
138000 1.0335
139000 1.0341
140000 1.0331
141000 1.03108
142000 1.03153
143000 1.02906
144000 1.0287
145000 1.02607
146000 1.02498
147000 1.02353
148000 1.0253
149000 1.02269
150000 1.02387
151000 1.02244
152000 1.02209
153000 1.02037
154000 1.01972
155000 1.02102
156000 1.02121
157000 1.0221
158000 1.02011
159000 1.02038
160000 1.01993
161000 1.01903
162000 1.01885
163000 1.01958
164000 1.0191
165000 1.01805
166000 1.01761
167000 1.0167
168000 1.01643
169000 1.01619
170000 1.0162
171000 1.01587
172000 1.01566
173000 1.01429
174000 1.0132
175000 1.01268
176000 1.01359
177000 1.01315
178000 1.0138
179000 1.01338
180000 1.01329
181000 1.01364
182000 1.01336
183000 1.0128
184000 1.01407
185000 1.01338
186000 1.01372
187000 1.01257
188000 1.01348
189000 1.01439
190000 1.01296
191000 1.01113
192000 1.01132
193000 1.0117
194000 1.01062
195000 1.01139
196000 1.01176
197000 1.0121
198000 1.0118
199000 1.01189
200000 1.01261
201000 1.0116
202000 1.01165
203000 1.01273
204000 1.01125
205000 1.01243
206000 1.01238
207000 1.01225
208000 1.01213
209000 1.01214
210000 1.01213
211000 1.01107
212000 1.00986
213000 1.00986
214000 1.01102
215000 1.0118
216000 1.01129
217000 1.01037
218000 1.01011
219000 1.00974
220000 1.00926
221000 1.00807
222000 1.00512
223000 1.00395
224000 1.00591
225000 1.00697
226000 1.00667
227000 1.00603
228000 1.0068
229000 1.0071
230000 1.00597
231000 1.00731
232000 1.00578
233000 1.00433
234000 1.00575
235000 1.00559
236000 1.00571
237000 1.00453
238000 1.00478
