# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
101000 21.3223
102000 21.3031
103000 21.2829
104000 21.2548
105000 21.2411
106000 21.1947
107000 21.2196
108000 21.15
109000 21.0808
110000 21.0027
111000 20.9934
112000 21.0588
113000 21.087
114000 21.1701
115000 21.2433
116000 21.302
117000 21.2833
118000 21.1995
119000 21.1017
120000 21.0615
121000 21.0146
122000 20.9892
123000 20.9149
124000 20.8103
125000 20.7642
126000 20.7726
127000 20.7582
128000 20.7256
129000 20.6931
130000 20.6474
131000 20.5563
132000 20.4355
133000 20.3979
134000 20.3426
135000 20.3435
136000 20.3881
137000 20.4298
138000 20.3974
139000 20.3711
140000 20.3407
141000 20.3337
142000 20.2996
143000 20.2714
144000 20.3137
145000 20.3003
146000 20.278
147000 20.3154
148000 20.3301
149000 20.2133
150000 20.1714
151000 20.2114
152000 20.1838
153000 20.1197
154000 20.0975
155000 20.0795
156000 19.9918
157000 19.9749
158000 20.0061
159000 20.049
160000 20.0141
161000 19.9702
162000 19.9448
163000 19.9111
164000 19.8929
165000 19.8796
166000 19.8303
167000 19.7809
168000 19.6552
169000 19.5519
170000 19.5378
171000 19.5238
172000 19.5338
173000 19.5546
174000 19.5388
175000 19.5307
176000 19.507
177000 19.4962
178000 19.4857
179000 19.4436
180000 19.4777
181000 19.5905
182000 19.6483
183000 19.6609
184000 19.6956
185000 19.7129
186000 19.6774
187000 19.6886
188000 19.7472
189000 19.8461
190000 19.9217
191000 19.9075
192000 19.8335
193000 19.768
194000 19.6718
195000 19.6351
196000 19.583
197000 19.5233
198000 19.4354
199000 19.4084
200000 19.4285
201000 19.4286
202000 19.4954
203000 19.5891
204000 19.6279
205000 19.5735
206000 19.4488
207000 19.3459
208000 19.3418
209000 19.396
210000 19.3766
211000 19.3858
212000 19.3895
213000 19.4338
214000 19.4679
215000 19.4115
216000 19.2987
217000 19.1834
218000 19.138
219000 19.1036
220000 19.0929
221000 19.0975
222000 19.1949
223000 19.3041
224000 19.2704
225000 19.1974
226000 19.2183
227000 19.2272
228000 19.2259
229000 19.2615
230000 19.2949
231000 19.3222
232000 19.2925
233000 19.2683
234000 19.2088
235000 19.186
236000 19.2189
237000 19.2404
238000 19.2487
239000 19.3129
240000 19.3846
241000 19.4309
242000 19.436
243000 19.3909
244000 19.3512
245000 19.285
246000 19.1613
247000 19.1829
248000 19.245
249000 19.3172
250000 19.2996
251000 19.2469
252000 19.217
253000 19.1649
254000 19.1176
255000 19.0821
256000 19.0305
257000 18.9838
258000 18.9207
259000 18.8973
260000 18.9791
261000 18.994
262000 19.0074
263000 19.0288
264000 19.1369
265000 19.2439
266000 19.2446
267000 19.267
268000 19.3011
269000 19.2196
270000 19.1772
271000 19.1666
272000 19.2024
273000 19.2062
274000 19.2189
275000 19.2507
276000 19.2219
277000 19.2436
278000 19.2344
