# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
101000 113.236
102000 110.653
103000 115.713
104000 107.607
105000 118.896
106000 120.695
107000 111.597
108000 103.94
109000 105.098
110000 102.86
111000 106.896
112000 109.829
113000 109.856
114000 106.757
115000 110.25
116000 99.3533
117000 105.667
118000 104.867
119000 107.44
120000 104.841
121000 109.477
122000 114.216
123000 114.471
124000 112.816
125000 108.921
126000 101.51
127000 108.008
128000 115.539
129000 111.668
130000 99.7071
131000 101.482
132000 103.083
133000 109.658
134000 112.77
135000 111.22
136000 109.958
137000 106.727
138000 109.165
139000 112.205
140000 122.713
141000 109.366
142000 112.412
143000 106.018
144000 110.639
145000 108.604
146000 116.98
147000 107.035
148000 101.686
149000 110.989
150000 114.457
151000 112.362
152000 117.199
153000 101.826
154000 109.535
155000 109.794
156000 116.569
157000 113.85
158000 115.452
159000 117.458
160000 124.718
161000 111.448
162000 109.953
163000 111.146
164000 108.677
165000 104.168
166000 111.669
167000 115.551
168000 112.075
169000 115.172
170000 113.54
171000 106.306
172000 107.424
173000 114.717
174000 115.074
175000 103.47
176000 109.221
177000 108.152
178000 112.442
179000 117.339
180000 108.246
181000 102.76
182000 103.6
183000 106.348
184000 117.348
185000 114.485
186000 105.509
187000 113.473
188000 107.08
189000 115.562
190000 102.382
191000 97.5285
192000 98.1081
193000 111.599
194000 104.22
195000 107.419
196000 110.629
197000 115.439
198000 114.204
199000 106.71
200000 104.273
201000 105.312
202000 103.31
203000 110.594
204000 106.918
205000 110.034
206000 103.464
207000 98.7698
208000 102.611
209000 103.926
210000 107.687
211000 104.717
212000 102.169
213000 111.523
214000 109.611
215000 119.344
216000 105.018
217000 105.556
218000 103.502
219000 113.495
220000 104.725
221000 111.866
222000 98.916
223000 91.3195
224000 102.471
225000 107.319
226000 102.95
227000 91.0294
228000 105.061
229000 102.352
230000 99.7122
231000 113.539
232000 117.337
233000 105.205
234000 112.406
235000 106.806
236000 106.115
237000 106.169
238000 106.507
239000 105.413
240000 113.455
241000 109.628
242000 101.361
243000 113.665
244000 108.763
245000 120.299
246000 112.614
247000 109.447
248000 100.931
249000 98.4901
250000 113.313
251000 104.269
252000 108.211
253000 106.734
254000 103.334
255000 103.206
256000 88.2561
257000 106.399
258000 119.765
259000 110.64
260000 103.953
261000 101.372
262000 96.0378
263000 96.5402
264000 108.663
265000 114.428
266000 112.061
267000 109.952
268000 93.4403
269000 98.6186
270000 103.518
271000 107.337
272000 111.024
273000 107.817
274000 116.144
275000 111.804
276000 101.777
277000 104.67
278000 109.845
279000 111.421
280000 109.538
281000 112.101
282000 112.791
283000 101.87
284000 103.2
285000 102.42
286000 94.228
287000 93.8773
288000 97.847
289000 112.022
290000 111.11
291000 113.039
292000 120.891
293000 113.444
294000 110.801
295000 103.452
296000 109.865
297000 110.394
298000 96.8985
299000 97.3623
300000 105.715
301000 105.187
302000 106.041
303000 104.861
304000 97.5673
305000 97.8528
306000 98.0536
307000 102.613
308000 101.259
309000 101.329
310000 102.851
311000 99.1832
312000 105.251
313000 103.38
314000 106.513
315000 106.743
316000 103.403
317000 108.027
318000 99.1504
319000 96.9208
320000 99.0972
321000 105.33
322000 101.625
323000 99.4773
324000 107.475
325000 112.68
326000 117.718
327000 117.976
328000 115.804
329000 111.732
330000 106.788
331000 101.439
332000 110.508
333000 104.352
334000 97.9349
335000 101.067
336000 108.738
337000 100.255
338000 103.675
339000 106.674
340000 91.3108
341000 105.185
342000 103.512
343000 103.205
344000 107.538
345000 99.6178
346000 98.6113
347000 106.155
348000 102.562
349000 103.959
350000 106.597
351000 111.471
352000 112.974
353000 105.276
354000 118.927
355000 102.823
356000 91.909
357000 102.576
358000 106.776
359000 109.12
360000 107.852
361000 93.8947
362000 104.566
363000 113.906
364000 115.945
365000 105.783
366000 118.109
367000 109.181
368000 104.917
369000 110.489
370000 123.019
371000 111.739
372000 109.536
373000 114.173
374000 104.762
375000 111.841
376000 112.388
377000 105.234
378000 110.034
379000 105.659
380000 107.59
381000 101.367
382000 106.494
383000 92.1573
384000 93.4146
385000 103.468
386000 101.879
387000 96.7052
388000 91.4285
389000 90.7823
390000 103.907
391000 108.769
392000 114.056
393000 118.765
394000 108.644
395000 109.934
396000 101.409
397000 95.4896
398000 104.254
399000 100.952
400000 99.7036
401000 98.902
402000 91.2169
403000 104.155
404000 98.641
405000 96.4199
406000 108.698
407000 104.072
408000 105.914
409000 97.9091
410000 89.2362
411000 108.743
412000 110.793
413000 109.204
414000 105.334
415000 105.289
416000 96.25
417000 96.702
418000 103.418
419000 100.755
420000 102.563
421000 106.088
422000 103.208
423000 102.522
424000 101.931
425000 102.708
426000 102.871
427000 98.0165
428000 101.922
429000 102.096
430000 105.369
431000 113.719
432000 113.739
433000 116.934
434000 106.298
435000 95.1283
436000 98.3722
437000 92.8277
438000 102.522
439000 107.992
440000 104.792
441000 112.207
442000 104.064
443000 104.714
444000 115.344
445000 116.369
446000 105.683
447000 106.091
448000 110.74
449000 96.7904
450000 99.549
451000 101.796
452000 99.0428
453000 95.1326
454000 96.4097
455000 98.3607
456000 96.9373
457000 100.393
458000 114.1
459000 98.1288
460000 92.419
461000 101.642
462000 107.134
463000 108.168
464000 105.69
465000 111.921
466000 103.343
467000 102.155
468000 102.435
469000 112.409
470000 100.388
471000 92.0669
472000 101.885
473000 113.726
474000 107.916
475000 93.8143
476000 98.3345
477000 99.1179
478000 107.332
479000 112.427
480000 107.618
481000 104.503
482000 112.878
483000 109.891
484000 102.891
485000 105.187
486000 105.091
487000 105.864
488000 101.728
489000 103.436
490000 103.695
491000 103.107
492000 109.578
493000 119.976
494000 108.831
495000 107.778
496000 110.468
497000 114.65
498000 109.846
499000 107.108
500000 110.474
501000 103.819
502000 114.807
503000 109.986
504000 108.94
505000 105.503
506000 105.573
507000 110.865
508000 116.576
509000 111.867
510000 105.493
511000 120.371
512000 105.302
513000 99.4117
514000 107.096
515000 102.437
516000 101.933
517000 116.222
518000 105.443
519000 104.899
520000 112.306
521000 104.602
522000 107.321
523000 109.342
524000 109.733
525000 103.806
526000 106.895
527000 98.9464
528000 107.244
529000 105.649
530000 111.708
531000 97.8892
532000 107.46
533000 109.137
534000 99.1375
535000 100.183
536000 92.7203
537000 91.5268
538000 93.2149
539000 91.5043
540000 104.077
541000 100.227
542000 100.399
543000 99.1071
544000 92.0959
545000 108.314
546000 114.303
547000 112.301
548000 97.2798
549000 97.256
550000 112.995
551000 103.908
552000 104.127
553000 100.172
554000 106.161
555000 102.311
556000 103.108
557000 95.998
558000 99.5956
559000 104.222
560000 109.197
561000 108.509
562000 94.0164
563000 101.91
564000 105.723
565000 93.6731
566000 99.9317
567000 99.556
568000 104.829
569000 118.699
570000 111.421
571000 105.091
572000 99.2761
573000 101.486
574000 116.845
575000 125.966
576000 115.527
577000 117.277
578000 115.686
579000 112.859
580000 99.625
581000 98.0935
582000 99.7894
583000 103.191
584000 97.8018
585000 104.722
586000 96.1744
587000 103.641
588000 104.06
589000 109.886
590000 109.633
591000 112.241
592000 115.478
593000 107.301
594000 101.965
595000 99.6286
596000 97.5245
597000 109.38
