# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
101000 113.236
102000 110.653
103000 115.713
104000 107.607
105000 118.896
106000 120.695
107000 111.597
108000 103.94
109000 105.098
110000 102.86
111000 106.896
112000 109.829
113000 109.856
114000 106.757
115000 110.25
116000 99.3533
117000 105.667
118000 104.867
119000 107.44
120000 104.841
121000 109.477
122000 114.216
123000 114.471
124000 112.816
125000 108.921
126000 101.51
127000 108.008
128000 115.539
129000 111.668
130000 99.7071
131000 101.482
132000 103.083
133000 109.658
134000 112.77
135000 111.22
136000 109.958
137000 106.727
138000 109.165
139000 112.205
140000 122.713
141000 109.366
142000 112.412
143000 106.018
144000 110.639
145000 108.604
146000 116.98
147000 107.035
148000 101.686
149000 110.989
150000 114.457
151000 112.362
152000 117.199
153000 101.826
154000 109.535
155000 109.794
156000 116.569
157000 113.85
158000 115.452
159000 117.458
160000 124.718
161000 111.448
162000 109.953
163000 111.146
164000 108.677
165000 104.168
166000 111.669
167000 115.551
168000 112.075
169000 115.172
170000 113.54
171000 106.306
172000 107.424
173000 114.717
174000 115.074
175000 103.47
176000 109.221
177000 108.152
178000 112.442
179000 117.339
180000 108.246
181000 102.76
182000 103.6
183000 106.348
184000 117.348
185000 114.485
186000 105.509
187000 113.473
188000 107.08
189000 115.562
190000 102.382
191000 97.5285
192000 98.1081
193000 111.599
194000 104.22
195000 107.419
196000 110.629
197000 115.439
198000 114.204
199000 106.71
200000 104.273
201000 105.312
202000 103.31
203000 110.594
204000 106.918
205000 110.034
206000 103.464
207000 98.7698
208000 102.611
209000 103.926
210000 107.687
211000 104.717
212000 102.169
213000 111.523
214000 109.611
215000 119.344
216000 105.018
217000 105.556
218000 103.502
219000 113.495
220000 104.725
221000 111.866
222000 98.916
223000 91.3195
224000 102.471
225000 107.319
226000 102.95
227000 91.0294
228000 105.061
229000 102.352
230000 99.7122
231000 113.539
232000 117.337
233000 105.205
234000 112.406
235000 106.806
236000 106.115
237000 106.169
238000 106.507
239000 105.413
240000 113.455
241000 109.628
242000 101.361
243000 113.665
244000 108.763
245000 120.299
246000 112.614
247000 109.447
248000 100.931
249000 98.4901
250000 113.313
251000 104.269
252000 108.211
253000 106.734
254000 103.334
255000 103.206
256000 88.2561
257000 106.399
258000 119.765
259000 110.64
260000 103.953
261000 101.372
262000 96.0378
263000 96.5402
264000 108.663
265000 114.428
266000 112.061
267000 109.952
268000 93.4403
269000 98.6186
270000 103.518
271000 107.337
272000 111.024
273000 107.817
274000 116.144
275000 111.804
276000 101.777
277000 104.67
278000 109.845
279000 111.421
280000 109.538
281000 112.101
282000 112.791
283000 101.87
284000 103.2
285000 102.42
286000 94.228
287000 93.8773
288000 97.847
289000 112.022
290000 111.11
