# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
101000 34.3127
102000 34.3486
103000 34.2317
104000 34.1844
105000 34.257
106000 34.2286
107000 34.1411
108000 34.0809
109000 33.9742
110000 33.8773
111000 33.8511
112000 33.825
113000 33.8918
114000 33.9567
115000 33.9712
116000 33.8946
117000 33.8471
118000 33.8192
119000 33.7338
120000 33.6936
121000 33.6497
122000 33.6378
123000 33.6034
124000 33.5416
125000 33.5189
126000 33.5364
127000 33.6335
128000 33.6828
129000 33.6802
130000 33.6458
131000 33.616
132000 33.5415
133000 33.441
134000 33.3576
135000 33.3159
136000 33.2782
137000 33.266
138000 33.281
139000 33.2538
140000 33.2206
141000 33.1166
142000 33.0413
143000 33.0561
144000 33.1716
145000 33.3884
146000 33.5376
147000 33.5668
148000 33.4722
149000 33.3802
150000 33.3538
151000 33.3498
152000 33.3843
153000 33.4569
154000 33.5504
155000 33.5673
156000 33.5247
157000 33.5773
158000 33.6131
159000 33.6192
160000 33.575
161000 33.5474
162000 33.6239
163000 33.6304
164000 33.5325
165000 33.4123
166000 33.3701
167000 33.3199
168000 33.2679
169000 33.1455
170000 33.1092
171000 33.1126
172000 33.1771
173000 33.2009
174000 33.153
175000 33.0708
176000 33.1122
177000 33.1438
178000 33.1836
179000 33.1943
180000 33.1629
181000 33.0947
182000 33.0854
183000 33.0629
184000 33.0446
185000 33.0999
186000 33.1286
187000 33.0983
188000 33.0579
189000 32.9638
190000 32.9442
191000 32.9397
192000 32.9606
193000 32.9651
194000 32.8428
195000 32.758
196000 32.7645
197000 32.8099
198000 32.861
199000 32.8918
200000 32.9069
201000 32.8681
202000 32.8446
203000 32.8664
204000 32.9739
205000 32.9833
206000 32.9634
207000 33.0011
208000 33.0324
209000 32.983
210000 32.9311
211000 32.9199
212000 32.9061
213000 32.933
214000 32.9473
215000 32.9739
216000 33.0427
217000 33.0633
218000 33.062
219000 33.1038
220000 33.1374
221000 33.0962
222000 32.96
223000 32.8474
224000 32.8491
225000 32.8136
226000 32.7382
227000 32.7742
228000 32.8206
229000 32.8659
230000 32.8845
231000 32.8868
232000 32.8356
233000 32.776
234000 32.7442
235000 32.7839
236000 32.8479
237000 32.8806
238000 32.8161
239000 32.7947
240000 32.745
241000 32.6714
242000 32.6284
243000 32.5896
244000 32.5676
245000 32.4834
246000 32.3992
247000 32.3654
248000 32.3627
249000 32.3296
250000 32.3368
251000 32.3683
252000 32.3413
253000 32.3491
254000 32.3613
255000 32.3327
256000 32.2312
257000 32.1763
258000 32.0771
259000 32.0064
260000 31.9489
261000 31.928
262000 32.0382
263000 32.1257
264000 32.1117
265000 32.0663
266000 32.0433
267000 31.9829
268000 31.9389
269000 31.917
270000 31.8404
271000 31.735
272000 31.7267
273000 31.7225
274000 31.7258
275000 31.7161
276000 31.7324
277000 31.8175
278000 31.8447
279000 31.8443
280000 31.8343
281000 31.776
282000 31.7395
283000 31.766
284000 31.7587
285000 31.726
286000 31.7393
287000 31.7113
288000 31.7172
289000 31.7865
290000 31.7943
