# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
101000 0.95 0 0.83 0
102000 1 0 1 0
103000 1 0 1 0
104000 1 0 1 0
105000 1 0 1 0
106000 1 0 1 0
107000 1 0 1.74 0
108000 1 0 2 0
109000 1 0 2 0
110000 1 0 2 0
111000 1 0 2 0
112000 1 0 2 0
113000 1 0 2 0
114000 1 0 2 0
115000 1 0 2 0
116000 1 0 2 0
117000 1 0 2 0
118000 1 0 2 0
119000 1 0 2 0
120000 1 0.7 2 0
121000 1 1 2 0
122000 1 1 2 0
123000 1 1 2 0
124000 1 1 2 0
125000 1 1 2.65 0
126000 1 1 3 0
127000 1 1 3 0
128000 1 1.04 3 0.15
129000 1 2 3 1
130000 1 2 3 1
131000 1 2 3 1
132000 1 2 3 1
133000 1 2 3 1
134000 1 2 3.24 1
135000 1 2 4 1
136000 1 2 4 1
137000 1 2 4 1
138000 1 2 4.59 1
139000 1.97 2 6 1.23
140000 2 2 6 2
141000 2 2 6 2
142000 2 2 6 2
143000 2 2 6 2
144000 2 2 6 2
145000 2 2 6 2
146000 2 2 6 2
147000 2.25 2 6 2
148000 3 2 6 2
149000 3 2 6 2
150000 3 2 6 2
151000 3 2 6 2
152000 3 2 6 2
153000 3 2 6 2
154000 3 2 6 2
155000 3 2 6 2
156000 3 2 6 2
157000 3 2 6 2
158000 3 2 6 2
159000 3 2 6 2
160000 3 2 6 2
161000 3 2 6 2
162000 3 2 6 2
163000 3 2 6 2.3
164000 3 2 6 3
165000 3 2 6 3
166000 3 2 6 3.13
167000 3 2 6 4
168000 3 2 6 4
169000 3 2 6 4
170000 3 2 6 4
171000 3 2 6 4
172000 3 2 6 4
173000 3 2 6 4
174000 3 2 6 4
175000 3 2 6 4
176000 3 2 6 4
177000 3 2 6 4
178000 3 2 6 4.35
179000 3 2 6.62 5
180000 3 2 7 5
181000 3 2 7 5
182000 3 2 7 5
183000 3 2 7.21 5.25
184000 3 2 8 6
185000 3 2 8 6
186000 3 2 8 6.3
187000 3 2 8 7
188000 3 2 8 7
189000 3 2 8.03 7
190000 3 2 9 7
191000 3 2 9 7
192000 3 2 9 7
193000 3 2 9 7
194000 3 2 9 7
195000 3 2 9 7
196000 3 2 9 7
197000 3 2 9 7
198000 3 2.82 9 7
199000 3 3 9 7
200000 3 3 9 7
201000 3 3 9 7
202000 3.8 3 9 7
203000 4 3 9 7
204000 4 3 9 7
205000 4 3 9 7
206000 4.97 3 9 7
207000 5.73 3 9 7
208000 6 3 9 7
209000 6 3 9 7
210000 6 3 9 7
211000 6 3 9 7
212000 6 3 9 7
213000 6 3 9 7
214000 6 3 9 7
215000 6 3 9 7
216000 6 3 9 7
217000 6 3 9 7
218000 6 3 9 7
219000 6 3 9 7
220000 6 3.84 9 7
221000 6 4 9 7
222000 6 4 9 7
223000 6 4 9 7
224000 6 4 9 7
225000 6.44 4 9 7.2
226000 7 4 9 8
227000 7 4 9 8
228000 7 4 9 8
229000 7 4 9 8
230000 7 4 9 8.74
231000 7 4 9 9
232000 7 4 9.96 9
233000 7 4 10 9
234000 7 4 10 10
235000 7 4 10 10
236000 7 4 10 10
237000 7 4.35 10 10
238000 7 5 10 10
239000 7 5 10 10
240000 7 5 10 10
241000 7 5 10.23 10
242000 7 5 11 10
243000 7 5 11 10
244000 7 5 11 10
245000 7 5 11 10
246000 7 5 11 10
247000 7 5 11 10
248000 7 5 11 10
249000 7 5 11 10
250000 7 5 11 10
251000 7 5 11 10
252000 7 5 11 10
253000 7 5 11 10
254000 7 5 11 10
255000 7 5 11 10
256000 7 5 11 10
257000 7 5 11 10
258000 7 5 11 10
259000 7 5 11 10
260000 7 5 11 10
261000 7 5 11 10
262000 7 5 11 10
263000 7 5 11 10
264000 7 5 11 10
265000 7 5 11 10
266000 7 5 11 10
267000 7 5 11 10
268000 7 5 11 10
269000 7 5 11.26 10
270000 7 5 12 10
271000 7 5.26 12 10
272000 7 6 12 10
273000 7 6 12 10
274000 7 6 12 10
275000 7 6 12 10
276000 7.02 6 12 10
277000 8 6 12 10
278000 8 6 12 10
279000 8 6 12 10
280000 8 6 12 10
281000 8 6 12 10
282000 8.92 6 12 10
283000 9 6 12 10
284000 9 6.8 12 10
285000 9 7 12 10
286000 9.98 7 12 10
287000 10 7 12 10
288000 10 7 12.7 10
289000 10 7 13 10
290000 10 7 13 10
