# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
1011000 6.73852
1012000 6.75919
1013000 6.80123
1014000 6.8296
1015000 6.86018
1016000 6.89978
1017000 6.94249
1018000 6.99485
1019000 7.07153
1020000 7.18727
1021000 7.29751
1022000 7.40321
1023000 7.4945
1024000 7.55885
1025000 7.61323
1026000 7.66039
1027000 7.68322
1028000 7.66585
1029000 7.62548
1030000 7.58549
1031000 7.54689
1032000 7.483
1033000 7.39997
1034000 7.29682
1035000 7.18778
1036000 7.09896
1037000 7.01279
1038000 6.92981
1039000 6.85428
1040000 6.79074
1041000 6.75369
1042000 6.71673
1043000 6.66184
1044000 6.58917
1045000 6.49309
1046000 6.38659
1047000 6.2785
1048000 6.13881
1049000 5.97167
1050000 5.77861
1051000 5.59074
1052000 5.42822
1053000 5.28062
1054000 5.13786
1055000 5.02838
1056000 4.94293
1057000 4.87775
1058000 4.80977
1059000 4.75326
1060000 4.70818
1061000 4.6886
1062000 4.69447
1063000 4.7494
1064000 4.83226
1065000 4.91154
1066000 4.98374
1067000 5.03569
1068000 5.07809
1069000 5.13991
1070000 5.20019
1071000 5.30566
1072000 5.41809
1073000 5.52415
1074000 5.65078
1075000 5.78813
1076000 5.91427
1077000 6.00766
1078000 6.10643
1079000 6.19897
1080000 6.25413
1081000 6.29249
1082000 6.33927
1083000 6.36625
1084000 6.40873
1085000 6.45732
1086000 6.4804
1087000 6.49788
1088000 6.54046
1089000 6.61136
1090000 6.70762
1091000 6.78389
1092000 6.85188
1093000 6.89267
1094000 6.92227
1095000 6.96518
1096000 7.02434
1097000 7.08891
1098000 7.15888
1099000 7.21333
1100000 7.23055
1101000 7.23686
1102000 7.23263
1103000 7.21392
1104000 7.20875
1105000 7.21904
1106000 7.19457
1107000 7.14736
1108000 7.09095
1109000 7.05022
1110000 7.02439
1111000 6.98277
1112000 6.92457
1113000 6.84738
1114000 6.75142
1115000 6.61619
1116000 6.48909
1117000 6.40694
1118000 6.35265
1119000 6.31111
1120000 6.2695
1121000 6.21702
1122000 6.16987
1123000 6.1312
1124000 6.10332
1125000 6.0611
1126000 6.03767
1127000 6.05093
1128000 6.04918
1129000 6.05405
1130000 6.06588
1131000 6.09333
1132000 6.11107
1133000 6.12032
1134000 6.13311
1135000 6.14585
1136000 6.11394
1137000 6.02319
1138000 5.93749
1139000 5.8953
1140000 5.87152
1141000 5.88856
1142000 5.9448
1143000 5.99338
1144000 6.01452
1145000 6.05144
1146000 6.1102
1147000 6.18741
1148000 6.25955
1149000 6.33674
1150000 6.41816
1151000 6.48153
1152000 6.53034
1153000 6.54934
1154000 6.51377
1155000 6.48665
1156000 6.4948
1157000 6.49437
1158000 6.46694
1159000 6.44826
1160000 6.43599
1161000 6.39302
1162000 6.33357
1163000 6.25606
1164000 6.17098
1165000 6.10272
1166000 6.05358
1167000 6.00659
1168000 5.93792
1169000 5.86075
1170000 5.78649
1171000 5.7427
1172000 5.72449
1173000 5.71034
1174000 5.68599
1175000 5.64087
1176000 5.59449
1177000 5.55374
1178000 5.51881
1179000 5.46578
1180000 5.4136
1181000 5.37113
1182000 5.31491
1183000 5.24229
1184000 5.19246
1185000 5.16779
1186000 5.15525
1187000 5.16216
1188000 5.1617
1189000 5.19704
1190000 5.24102
1191000 5.31347
1192000 5.39454
