# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
1011000 1 0 0.42 0
1012000 1 0.16 1 0.66
1013000 1 1 1.06 1
1014000 1.33 1 2 1
1015000 2 1 2 1.82
1016000 2 1 2 2
1017000 2.66 1 2 2.93
1018000 3 1.21 2 3
1019000 3 2 2.83 3
1020000 3 2 3 3
1021000 3 2 3 3
1022000 3 2.4 3 3
1023000 3 3 3 3
1024000 3 3 3 3
1025000 3 3 3 3
1026000 3 3.59 3 3
1027000 3 4 3 3
1028000 3 4 3 3
1029000 3 4.5 3 3
1030000 3 5 3 3.8
1031000 3 5 3 4
1032000 3 5 3 4
1033000 3.37 5 3 4
1034000 4.6 5 3 4
1035000 5 5 3 4
1036000 5 5 3 4.68
1037000 5 5 3 5
1038000 5 5 3 5
1039000 5 5.04 3 5
1040000 5 6 3 5
1041000 5 6 3.76 5
1042000 5 6 5 5
1043000 5 6.62 5 5
1044000 5.25 7 5 5
1045000 6 7 5 5
1046000 6 7 5 5
1047000 6 7 5.03 5
1048000 6 7 6 5
1049000 6.17 7 6 5
1050000 7 7.24 6 5
1051000 7 8 6.99 5.41
1052000 7.73 8.44 7 6
1053000 8 9 7.79 6.31
1054000 9.55 9 8 7.97
1055000 10 9 8 9
1056000 11.72 9 8 9
1057000 12 9.6 8 9
1058000 12 10 8 10.72
1059000 12 10 8 12
1060000 12 10 8.76 12
1061000 12 10 9 12
1062000 12 10 9 12.3
1063000 12 10 9 13
1064000 12 10 9.04 13
1065000 12 10 10.82 13.42
1066000 12 10 11 14
1067000 12 10 11 14
1068000 12 10.32 11 14
1069000 12 11 11 14
1070000 13.57 11.26 11 14.52
1071000 14 12.59 11 15
1072000 14 13 11 15
1073000 14 13.99 11 15
1074000 14 14 11 15.96
1075000 14.58 14 11 17
1076000 15 14 11 17
1077000 15 14 11 17
1078000 15 14.12 11 17
1079000 15.88 15 11 17
1080000 16 15 11.08 17.13
1081000 16 15 12 18
1082000 16.48 15 12.39 18
1083000 17 15 13 18
1084000 17 15.88 13 18.89
1085000 17 16 13 19
1086000 17 16 13.57 19
1087000 17 16 14 19
1088000 17.23 16 14 19
1089000 18 16 14 19
1090000 18 16 14 19
1091000 18 16 14 19
1092000 18 16 14 19
1093000 18 16 14 19
1094000 18 16 14 19
1095000 18 16 14 19
1096000 18 16 14.81 19
1097000 18 16 15 19
1098000 18 16 15 19.72
1099000 18 16 15 20
1100000 18 16 15 20
1101000 18.13 16 15 20
1102000 19 16 15.9 20
1103000 19 16 16 20
1104000 19 16.87 16 20
1105000 19 17 16 20.99
1106000 19 17 16 21
1107000 19.76 17 16 21
1108000 20 17.46 16 21
1109000 20 18 16 21.35
1110000 20.56 18 16 22
1111000 22.87 18 16 22.38
1112000 23.77 18 16 23
1113000 25.33 18 16 23
1114000 26 18 16 23
1115000 26 18 16 23
1116000 26 18 16 23
1117000 26.02 18.55 16 23
1118000 27.06 19 16 23
1119000 28 19.94 16.54 23
1120000 28 20.18 17 23
1121000 28 21 17 23
1122000 28 21 17.3 23
1123000 28 21 18.25 23
1124000 28 21 19 23
1125000 28 21 19 23
1126000 28 21 19 23
1127000 28 21 19 23
1128000 28 21.34 19 23
1129000 28 22 19 23
1130000 28 22 19.92 23.83
1131000 28 22 20 24
1132000 28 22 20.98 24
1133000 28 22 21 24
1134000 28 22 21 24
1135000 28 22 21.76 24.22
1136000 28 22 22 25
1137000 28.17 22.13 22.34 25.93
1138000 29 23 23.81 26
1139000 29 23 24 26
1140000 29 23 24 26
1141000 29 23 24 26
1142000 29 23 24 26
1143000 29 23 24 26
1144000 29 23 24.01 26
1145000 29 23 25.95 26
1146000 29 23 26 26
1147000 29 23 26 26
1148000 29 23.46 26 26
1149000 29 24.95 26 26.42
1150000 29 25 26.23 27
1151000 29.45 25 27 27
1152000 30 25.92 27.87 27
1153000 30 26 28 27
1154000 30 26 28.39 27.77
1155000 30 26 29 28
1156000 30 26 29.45 28
1157000 30 26 30 28
1158000 30 26 30 28
1159000 30 26 30 28
1160000 30 26 30 28
1161000 30 26 30 28
1162000 30 26.34 30 28
1163000 30 27 30 28.4
1164000 30 27.54 30 29
1165000 30 28 30 29
1166000 30.21 28 30 29
1167000 31 28 30 29
1168000 31 28 30 29.12
1169000 31 28 30 30.53
1170000 31 28 30 31
1171000 31 28 30 31
1172000 31.7 28 30 31
1173000 32 28 30 31
1174000 32 28 30.98 31
1175000 32 28 31 32.17
1176000 32 28 31 34
1177000 32 28 31 34
1178000 32 28 31 34.19
1179000 32 28 31 35
1180000 32 28 31 35
1181000 32 28 31 35
1182000 32 28.29 31 35
1183000 32 29 31 35
1184000 32 29 31.64 35
1185000 32 29 32 35.42
1186000 32 29 32 36
1187000 32 29.41 32 36.93
1188000 32 30 32 37
1189000 32.16 30 32 37.71
1190000 33 30.74 32 38
1191000 33 31 32.14 38
1192000 33 31.08 33 38
1193000 33.42 32 33 38.67
1194000 34 32 33 39
1195000 34 32 33 39.8
1196000 34 32 33 40
1197000 34 32 33 40
1198000 34 32 33 40
1199000 34.71 32 33 40
1200000 35.43 32 33 40
1201000 36 32 33 40
1202000 36 32 33 40
1203000 36 32 33 40
1204000 36 32 33 40
1205000 36 32 33 40
1206000 36 32 33 40
1207000 36 32 33 40
1208000 36 32 33 40
1209000 36.9 32 33 40
1210000 37 32 33 40
1211000 37.8 32 33 40.86
1212000 38 32 33 41
1213000 38 32 33 41
1214000 38 32 33 41
1215000 38 32 33 41
1216000 38 32 33 41
1217000 38 32.22 33 41
1218000 38.68 33 33 41
1219000 39 33 34.29 41
1220000 39 33 35 41
1221000 39 33 35.42 41
1222000 39 33 36.19 41
1223000 39 33 37.37 41
1224000 39 33 38 41
1225000 39 34.16 38.24 41.84
1226000 39 35 39 42
